phase,evidence_file,bytes,sha256,audited_result,relationship_to_R2
E0,evidence/e0_e7/PYTHON_RUNTIME_PREFLIGHT.json,14141,4b70c9ed441b90dfa6e8f0fc3c71683c842ed190157542e1cb04bba866aaa7a1,"pinned Python 3.12.3; imports recorded; bare LightGBM failure preserved","R2 inherits; later LightGBM closure controls final environment statement"
E0-LightGBM,evidence/e0_e7/LIGHTGBM_GATE_CLOSE.json,155985,b5272389abaf53a4fb8e5e1a28e5637cfc82a71a074ddd2d68b73e52a511985c,"T2B frozen LightGBM 4.7.0 read-only overlay closure","R2 inherits; do not use earlier NOT_IMPORTABLE_UNREQUIRED as final status"
E0-LightGBM,evidence/e0_e7/LIGHTGBM_OVERLAY_COMPATIBILITY_CHECK.json,4773,88c57ae495b2abfbbd83d0bf382731971f2e7fe85e334cbe7f1ac4ead3861324,"overlay compatibility evidence","R2 inherits"
E0-LightGBM,evidence/e0_e7/LIGHTGBM_OVERLAY_MODULE_SOURCE_MATRIX.csv,3368,96d300d05e0ebc761c506605b5406782b73974a663b9af5bf1c07a02c037c2fb,"module source before/after overlay","R2 inherits"
E1,evidence/e0_e7/UNIFIED_GRAPH_RUNTIME_GATE.json,37177,7cb3aece572fd3e688b96cc280f12192fe55e6854ac334b3ffe24a617d75ce48,"installed StateGraph/runtime PASS","R2 uses same fixed runtime"
E2,evidence/e0_e7/TEACHER_FIXED_TOPOLOGY_IDENTITY.json,6385,4d530261066d2521d0a13c1b069144e2bc7d59443b36b86e0bd3dec73c45c58a,"teacher base/topology identities frozen","R2 resume identity gate confirms unchanged"
E3,evidence/e0_e7/COMPONENT_TESTS_GATE.json,32623,447de88b7a7d53878ef7585678d2b74f5ee2b508fcc38e009d432bcaa8f6da49,"157 named component checks PASS","R2 does not rerun by explicit resume contract"
E3,evidence/e0_e7/COMPONENT_NAMED_CHECKS.csv,38953,4866d7093ec9a066a856dd099599ef78663c047b617f79d9e2344e1a6935d0d3,"per-check evidence","R2 inherits"
E3,evidence/e0_e7/COMPONENT_TEST_GROUP_RUNS.csv,7777,ad72551d66e85043bcd76f00ea1ef911964d8c8004328cbbebf8f1158f2a775f,"group execution evidence","R2 inherits"
E4,evidence/e0_e7/FIXED_ASSET_IDENTITY_GATE.json,57803,bc58a271218999c6cc2a282a443271ed2ed6fc4a971e29a5b74cc1b3ced86a97,"412 files/3.94GB scan; fixed archives and assets identity PASS","R2 uses frozen identity; no repeat hashing"
E5-E6,evidence/e0_e7/UID_SEQUENCE_GVP_POCKET_ESM_PREFORWARD_GATE.json,23127,cbf4176994717e3135a8746bd1ec8b5f072f9d5369a1272b1fa1748e48e2fcb8,"3/3 native load; per-UID sequence/GVP/pocket/ESM PASS","R2 inherits"
E5-E6,evidence/e0_e7/NATIVE_LOAD_PER_ROW_TENSORS.csv,28217,cc7473eb6d94391a1e04e4e1d43cee07ab7a7ff7d3dab486dcdf8952096c3f56,"9 dataset rows x 11 tensor records","R2 selected copy also included"
E5-E6,evidence/e0_e7/CORRECTED_UID_AND_PROTEIN_ASSET_IDENTITIES.csv,1837,21aa44be944b00a3b85aa23796179efceefc38839fc9bcb520eacaabd32ef429,"three UID identity correction","R2 inherits"
E7,evidence/e0_e7/T3B_BOUNDED_FORWARD_GATE.json,49429,b153e4cd09fc513dd5f01cbd16366ba21a278027ca17a3c1243cb2905e8d720f,"three workers; six unique pairs; 6/6 forward PASS","R2 inherits; independent forward not rerun"
E7,evidence/e0_e7/T3B_NATIVE_LOAD_AND_FORWARD_RESULTS.jsonl,33622,01f22baf362ff323f4617e1a4abe4b46150773e4afc1bc945c1eb876667972ae,"raw six forward records","R2 selected copy included"
E7,evidence/e0_e7/GPU_WORKER_ASSIGNMENT_AND_ISOLATION.csv,7755,e8cfc13e8e4defdb248c7277e0c4d8c1fd72ecb83d92373558a4cc647bf05099,"GPU0/1/2 isolation and assignment","R2 selected copy included"
E7-Prereg,evidence/e0_e7/REAL_SMOKE_INPUTS.csv,13978,97e5d6d6701ac23890ae8ee4c71c9039280c4f447fe63510bb7fec76b13f8595,"8 frozen smoke inputs","R2 consumes these inputs"
Source,evidence/e0_e7/SOURCE_PATCH_R1_REGENERATED.diff,381120,074f5c31d516e1f699648008ed86767244e25fb128905e119366ad346f8f027a,"cumulative source patch identity","R2 resume pins this SHA"
Source,evidence/e0_e7/CHANGED_FILES_R1.csv,8068,80956122dcb519d1e98a92c0d2b1642d95d6c51243ca42ea382e55671c76feb5,"changed-file inventory","R2 inherits"
