artifact,role,key_result_or_boundary
HUANG_TEACHER_T6_R3_REAL_EXECUTION_RESULTS_CONTRACT_GAPS_TIME_EXPLANATION_AND_DECISION_REQUEST_2026-09-11.md,teacher-facing technical brief,"real results; time explanation; code locations; six decisions"
TEACHER_REQUIREMENT_COMPLIANCE_MATRIX.csv,line-by-line contract audit,"PASS/PARTIAL/FAIL for teacher hard gates and required deliverables"
E0_E7_CHECKPOINT_EVIDENCE_INDEX.csv,first-model checkpoint evidence map,"R1 E0-E7 filenames/bytes/SHA/status and R2 inheritance relationship"
audits/ENZYMECAGE_THREE_MODULE_T6_R3_R1_OPERATOR_CHECKPOINT_STAGE8_RETURN_LOCAL_AUDIT_2026-09-11.md,R1 checkpoint audit,"E0-E7; 3/3 native load; 6/6 forward; stage8 checkpoint"
audits/ENZYMECAGE_THREE_MODULE_T6_R3_R2_RESUME_STAGE8_TEACHER_TOPOLOGY_TECHNICAL_COMPLETION_RETURN_LOCAL_AUDIT_2026-09-11.md,final independent local audit,"partial real execution; reject T6 final/G7"
audits/T6_R3_R1_REUSABLE_RUNTIME_RECIPE_AND_PERSISTENCE_BOUNDARY_2026-09-11.md,reproduction recipe,"pinned Python/overlay/assets/runner and non-golden boundaries"
audits/T6_R3_R1_PHASE_TIMING_AND_BOTTLENECK_ATTRIBUTION_2026-09-11.csv,timing,"R1 17h20m inactive; R2 attempt timings; final run about 530s"
audits/T6_R3_R1_LLM_EXECUTOR_ERROR_ATTRIBUTION_2026-09-11.csv,root-cause and prevention,"runner/validator errors and scientific rerun decision"
audits/T6_R3_R1_GOLDEN_RUNTIME_FILE_IDENTITIES_2026-09-11.csv,runner identities,"successful as-executed runner candidate hashes"
audits/T6_R3_R1_ASSET_HASH_COST_AND_REUSE_PLAN_2026-09-11.csv,asset reuse,"avoid repeated large-asset hashing"
returned_archives/enzymecage_three_module_t6_r3_r1_operator_checkpoint_stage8_20260911.tar.gz,original checkpoint,"SHA256 50efeafdc175141a947ce27be3cf5953bb8892a8b40aca4e9be3ab3e96cf4fdf"
returned_archives/enzymecage_three_module_t6_r3_r2_resume_stage8_teacher_topology_technical_completion_20260911.tar.gz,original technical return,"SHA256 6844b68ac782c51556e91d77cba7c3f5f12e4e1c679a270fbcdc97ad49c3b162; external sidecars missing locally"
evidence/T3B_NATIVE_LOAD_AND_FORWARD_RESULTS.jsonl,native load and model evidence,"3/3 native load and 6/6 forward"
evidence/REAL_LANGGRAPH_INVOKE_TRACE.jsonl,graph invoke,"real installed teacher graph"
evidence/REAL_LANGGRAPH_STREAM_TRACE.jsonl,graph stream,"real node stream"
evidence/NODE_STATE_TRANSITIONS.jsonl,state transitions,"160 transition records in final children"
evidence/REAL_SMOKE_INPUTS.csv,frozen smoke input,"8 selected records"
evidence/REAL_SMOKE_OUTPUTS.jsonl,smoke output,"8 outputs; mixed graph and staged scope"
evidence/EVIDENCE_CHAIN_OUTPUTS.jsonl,evidence documents,"8 records"
evidence/SCHEMA_VALIDATION_REPORT.json,G-SCHEMA,"8/8 valid; negatives rejected"
evidence/TEST_CASE_MATRIX.csv,executor test matrix,"self-reports 19/20; superseded by local semantic audit"
evidence/C8_TO_T5_REAL_CONTINUOUS_REGRESSION.json,component chain evidence,"real production callables but typed reattach/graph-outside limitation"
evidence/DETERMINISTIC_ORDER_CHECK.json,determinism,"final attempt passes with PYTHONHASHSEED=0"
evidence/MUTATION_CHECK.json,mutation evidence,"13 checks only; incomplete versus teacher contract"
evidence/ACCESS_AUDIT.jsonl,raw access events,"contains authorized UniProt/KEGG calls; packaged summary parser wrong"
evidence/PERSISTENT_SOURCE_NONMUTATION.json,persistent identity,"cross-evidence unchanged; packaged expected size bug"
evidence/ORIGINAL_EXECUTOR_FINAL_STATUS.txt,executor status,"T6 overall false/G7 false; TEST/C8 claims locally downgraded"
