group,test_name,identifier,status,line_number,raw_line
G1,test_no_legacy_or_compat_copies,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_no_legacy_or_compat_copies,ok,1,test_no_legacy_or_compat_copies (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_no_legacy_or_compat_copies) ... ok
G1,test_single_definition_across_repo,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_single_definition_across_repo,ok,2,test_single_definition_across_repo (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_single_definition_across_repo) ... ok
G1,test_v32_construction_ok_and_rank_depth_guarded,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_construction_ok_and_rank_depth_guarded,ok,3,test_v32_construction_ok_and_rank_depth_guarded (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_construction_ok_and_rank_depth_guarded) ... ok
G1,test_v32_fields_present_and_banned_fields_absent,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_fields_present_and_banned_fields_absent,ok,4,test_v32_fields_present_and_banned_fields_absent (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_fields_present_and_banned_fields_absent) ... ok
G1,test_no_8001_literal_in_src_and_config,tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_no_8001_literal_in_src_and_config,ok,5,test_no_8001_literal_in_src_and_config (tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_no_8001_literal_in_src_and_config) ... ok
G1,test_settings_has_no_enzyme2organism_attributes,tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_settings_has_no_enzyme2organism_attributes,ok,6,test_settings_has_no_enzyme2organism_attributes (tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_settings_has_no_enzyme2organism_attributes) ... ok
G1,test_frozen_tuple,tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_frozen_tuple,ok,7,test_frozen_tuple (tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_frozen_tuple) ... ok
G1,test_illegal_values_raise,tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_illegal_values_raise,ok,8,test_illegal_values_raise (tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_illegal_values_raise) ... ok
G1,test_legal_values_pass_through,tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_legal_values_pass_through,ok,9,test_legal_values_pass_through (tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_legal_values_pass_through) ... ok
G1,test_frozen_s1_s2_sha_recompute,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_frozen_s1_s2_sha_recompute,ok,10,test_frozen_s1_s2_sha_recompute (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_frozen_s1_s2_sha_recompute) ... ok
G1,test_mismatch_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mismatch_rejected,ok,11,test_mismatch_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mismatch_rejected) ... ok
G1,test_missing_sha_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_sha_rejected,ok,12,test_missing_sha_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_sha_rejected) ... ok
G1,test_missing_smiles_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_smiles_rejected,ok,13,test_missing_smiles_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_smiles_rejected) ... ok
G1,test_mock_retrieve_pairs_every_row,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mock_retrieve_pairs_every_row,ok,14,test_mock_retrieve_pairs_every_row (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mock_retrieve_pairs_every_row) ... [DRY_RUN] reaction_retriever 返回 mock 候选反应，不构成任何相似性证据
G1,test_non_lowercase_64hex_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_non_lowercase_64hex_rejected,ok,16,test_non_lowercase_64hex_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_non_lowercase_64hex_rejected) ... ok
G1,test_paired_construction_ok,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_paired_construction_ok,ok,17,test_paired_construction_ok (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_paired_construction_ok) ... ok
G2,test_no_legacy_or_compat_copies,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_no_legacy_or_compat_copies,ok,1,test_no_legacy_or_compat_copies (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_no_legacy_or_compat_copies) ... ok
G2,test_single_definition_across_repo,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_single_definition_across_repo,ok,2,test_single_definition_across_repo (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_single_definition_across_repo) ... ok
G2,test_v32_construction_ok_and_rank_depth_guarded,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_construction_ok_and_rank_depth_guarded,ok,3,test_v32_construction_ok_and_rank_depth_guarded (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_construction_ok_and_rank_depth_guarded) ... ok
G2,test_v32_fields_present_and_banned_fields_absent,tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_fields_present_and_banned_fields_absent,ok,4,test_v32_fields_present_and_banned_fields_absent (tests.test_t6r3a_g2_unique_predicted_reaction.TestG2UniquePredictedReaction.test_v32_fields_present_and_banned_fields_absent) ... ok
G2,test_no_8001_literal_in_src_and_config,tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_no_8001_literal_in_src_and_config,ok,5,test_no_8001_literal_in_src_and_config (tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_no_8001_literal_in_src_and_config) ... ok
G2,test_settings_has_no_enzyme2organism_attributes,tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_settings_has_no_enzyme2organism_attributes,ok,6,test_settings_has_no_enzyme2organism_attributes (tests.test_t6r3a_g3_no_8001_dependency.TestG3No8001Dependency.test_settings_has_no_enzyme2organism_attributes) ... ok
G2,test_frozen_tuple,tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_frozen_tuple,ok,7,test_frozen_tuple (tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_frozen_tuple) ... ok
G2,test_illegal_values_raise,tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_illegal_values_raise,ok,8,test_illegal_values_raise (tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_illegal_values_raise) ... ok
G2,test_legal_values_pass_through,tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_legal_values_pass_through,ok,9,test_legal_values_pass_through (tests.test_t6r3a_g4_host_literal_enum.TestG4HostLiteralEnum.test_legal_values_pass_through) ... ok
G2,test_frozen_s1_s2_sha_recompute,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_frozen_s1_s2_sha_recompute,ok,10,test_frozen_s1_s2_sha_recompute (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_frozen_s1_s2_sha_recompute) ... ok
G2,test_mismatch_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mismatch_rejected,ok,11,test_mismatch_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mismatch_rejected) ... ok
G2,test_missing_sha_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_sha_rejected,ok,12,test_missing_sha_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_sha_rejected) ... ok
