issue,evidence,classification,scientific_rerun_needed,prevention
wrong Python in first R3,ModuleNotFoundError ase before forward,executor-contract environment failure,yes_at_that_time,pin absolute interpreter and run import gate first
R3_R1 long idle,17h20m with no command or file-write evidence,executor/coordination inefficiency not proven platform bug,no,freeze launcher and forbid no-activity planning loops
manifest regex empty truth,0 matched equals 0 checked,LLM-generated validator defect,no,use parsed 64hex rows plus nonempty and mutation
UID pin regex wrong length,zero pins parsed,LLM-generated validator defect,no,use schema parser and zero-row hard fail
R3_R2 Pydantic object indexed as dict,attempt1 traceback,runner implementation defect,no,typed access helper regression before real run
logger handler tuple misuse,attempt3 traceback,runner implementation defect,no,2-minute import/unit smoke before model run
overlay path constrained to wrong root,attempt5/6 evidence,runner validator assumption defect,no,validate logical asset role and exact identity not substring
PYTHONHASHSEED set too late,attempt6 norm mismatch,runner determinism defect,no,set in spawn environment
TEST04 null provenance accepted,raw source_tag/source_tool null,finalizer/validator semantic defect,no,source-provenance invariant and mutation
TEST11 denominator overcount,covered occurrences 4 over unique total 3,finalizer metric derivation defect,no,separate branch occurrence and unique task denominators
C8 to T5 manual continuation called graph continuous,graph task ids rejected and trait called after checkpoint extraction,report/validator overclaim,no,different statuses for graph-native component and manual approved continuation
authorized network reported absent,40 UniProt/KEGG events but distinct hosts empty,access parser defect,no,parse tuple host and enforce allowlist
persistent rxn2fp expected 44,actual frozen size 6500 but ignored in all-pass,persistent validator defect,no,pin exact 6500/SHA and include every child boolean
mutation suite incomplete,13 environment/transport cases only,coverage design defect,no,inherit original scientific mutation matrix
sidecars missing locally,only archive present,delivery defect,no,atomic three-file transfer and local receipt gate
