requirement_id,teacher_requirement,observed_evidence,local_verdict,teacher_or_next_action
AUTH-01,"teacher BASE_COMMIT/TREE and fixed topology unchanged","R1 checkpoint TEACHER_FIXED_TOPOLOGY_IDENTITY.json; local audit; four topology files unchanged",PASS,"retain identities"
RUN-01,"real installed LangGraph StateGraph compile/invoke/stream","R2 evidence/REAL_LANGGRAPH_INVOKE_TRACE.jsonl; REAL_LANGGRAPH_STREAM_TRACE.jsonl; NODE_STATE_TRANSITIONS.jsonl; four final child exits 0",PASS_WITH_LIMITATION,"END after fail-closed does not itself prove full chain"
TOPO-01,"retrieval or single-step prediction success connects to enzyme pool; multistep bridge is side path","real graph executes retrieval path; two bridge observation cases stop at enzyme_pool",PARTIAL,"teacher adjudication required for exact intended path"
LOOKUP-01,"known-route lookup then controlled prediction semantics from original TEST contract","teacher graph has no enviPath node; enviPath calls=0; Route C 4051 similarity retrieval exists",FAIL_NOT_ESTABLISHED,"teacher confirm/add lookup HIT/MISS or revise contract"
PRED-01,"prediction path and source role","reaction_prediction edge exists but final smoke does not reach it; actual fallback code is BioTransformer; depending graph calls=0",FAIL_NOT_ESTABLISHED,"teacher confirm MISS predictor and reachable edge"
SOURCE-01,"database/BioTransformer/ECLIPSE/depending source_tag preserved through chain","retrieved CandidateReaction source_tag/source_tool are null; bridge default source_tool=enviPath",FAIL,"teacher define non-null provenance contract and remove false default"
T3-01,"three reactions real native load 3/3","R1 checkpoint plus R2 evidence/T3B_NATIVE_LOAD_AND_FORWARD_RESULTS.jsonl",PASS,"reuse; do not rerun"
T3-02,"bounded EnzymeCAGE forward exactly 6 records","R1 checkpoint plus R2 evidence/T3B_NATIVE_LOAD_AND_FORWARD_RESULTS.jsonl; 6/6",PASS,"reuse; do not rerun"
SMOKE-01,"8 frozen candidate enzyme records traceable","R1 REAL_SMOKE_INPUTS plus R2 REAL_SMOKE_OUTPUTS; 8 records",PASS_AS_MIXED_GRAPH_AND_STAGED,"retain graph/staged distinction"
SMOKE-02,"C1-C4 controls","R2 40_evidence/C1_TO_C4_CONTROL_RESULTS.json exists inside original archive",PARTIAL_NOT_IN_BROWSE_SET,"review through original R2 archive"
TEST-01,"TEST-01 through TEST-20 all real PASS","executor reports 19/20; local audit finds TEST-03 not established, TEST-04 fail, TEST-11 fail/not established, TEST-12/16 graph-continuous not established",FAIL,"zero-model recompute matrix; no model rerun"
ID-01,"unique reaction_task_id and route-step-aware T5 aggregation","graph ID NONE_SINGLE_STEP_M5 and bridge R-* rejected by T5 which accepts RT-*",FAIL,"teacher unify public ID contract"
C8T5-01,"real microbe output -> C8 adapter -> T5 continuous chain","microbe and C8 production callable real; trait/T5 called outside graph checkpoint; T5 succeeds only after typed reattach",PARTIAL_COMPONENT_CHAIN_ONLY,"cannot claim graph-native continuous PASS"
LLM-01,"no credential writes structured NOT_RUN but graph still continues","organism_selection fail-closed; graph reaches END before trait/synthesis",FAIL,"teacher decide deterministic no-LLM continuation or required credential"
SMILES-01,"invalid SMILES fail-closed while valid canonical aromatic SMILES enters chain","canonical lowercase aromatic SMILES misclassified; runner uses equivalent Kekule representation",FAIL_PRODUCTION_ENTRY_NOT_PROVEN,"teacher decide parser normalization contract"
SCHEMA-01,"all final evidence chains pass official Draft202012 schema","8/8 final evidence documents pass; official negatives rejected",PASS,"retain"
DET-01,"fresh-process repeats deterministic","final attempt passes after PYTHONHASHSEED=0 and live-field normalization",PASS_FINAL_ATTEMPT,"freeze spawn environment and normalization"
MUT-01,"all original scientific mutation classes plus new classes","R2 runs 13 mainly environment/transport mutations; original invalid/pool/UID/edge/cycle/assets/C8/fungal/F5/F15/LLM/TaxID classes incomplete",FAIL_INCOMPLETE_COVERAGE,"CPU/isolated zero-model supplement only"
