case_id,input_row_number,parent_smiles,status,classification,rank,product_smiles,canonical_product_identity,lane,source_evidence_eligibilities,source_snapshot_lanes,conditional_eligible,warnings,failures,blocker_code,blocker_reason,error_type,raw_candidate_id,raw_donor_reaction_id,raw_json_path
SPD-BBD2-PARENT-c0001,1,ClCCCl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_000_SPD-BBD2-PARENT-c0001.json
SPD-BBD2-PARENT-c0002,2,CCNc1nc(Cl)nc(NC(C)C)n1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_001_SPD-BBD2-PARENT-c0002.json
SPD-BBD2-PARENT-c0006,3,Oc1cc(cc(O)c1O)C([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_002_SPD-BBD2-PARENT-c0006.json
SPD-BBD2-PARENT-c0018,4,OC(CCl)CCl,completed_with_warnings,ranked_prediction,1,O=C(CCl)CCl,O=C(CCl)CCl,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_3e619707bc93,real_real_audit_case_002,RAW_OUTPUTS/bbd83_direct/case_003_SPD-BBD2-PARENT-c0018.json
SPD-BBD2-PARENT-c0039,5,c1ccc2c(c1)oc1ccccc21,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_004_SPD-BBD2-PARENT-c0039.json
SPD-BBD2-PARENT-c0116,6,CCc1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_005_SPD-BBD2-PARENT-c0116.json
SPD-BBD2-PARENT-c0118,7,c1ccc2c(c1)sc1ccccc21,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_006_SPD-BBD2-PARENT-c0118.json
SPD-BBD2-PARENT-c0121,8,[O-]C(=O)c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_007_SPD-BBD2-PARENT-c0121.json
SPD-BBD2-PARENT-c0134,9,[O-]C(=O)CNCP([O-])([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_008_SPD-BBD2-PARENT-c0134.json
SPD-BBD2-PARENT-c0139,10,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_009_SPD-BBD2-PARENT-c0139.json
